,DATE,SP500
563,2020-12-24,3703.06
564,2020-12-25,.
565,2020-12-28,3735.36
566,2020-12-29,3727.04
567,2020-12-30,3732.04
568,2020-12-31,3756.07
569,2021-01-01,.
570,2021-01-04,3700.65
571,2021-01-05,3726.86
572,2021-01-06,3748.14
573,2021-01-07,3803.79
574,2021-01-08,3824.68
575,2021-01-11,3799.61
576,2021-01-12,3801.19
577,2021-01-13,3809.84
578,2021-01-14,3795.54
579,2021-01-15,3768.25
580,2021-01-18,.
581,2021-01-19,3798.91
582,2021-01-20,3851.85
583,2021-01-21,3853.07
584,2021-01-22,3841.47
585,2021-01-25,3855.36
586,2021-01-26,3849.62
587,2021-01-27,3750.77
588,2021-01-28,3787.38
589,2021-01-29,3714.24
590,2021-02-01,3773.86
591,2021-02-02,3826.31
592,2021-02-03,3830.17
593,2021-02-04,3871.74
594,2021-02-05,3886.83
595,2021-02-08,3915.59
596,2021-02-09,3911.23
597,2021-02-10,3909.88
598,2021-02-11,3916.38
599,2021-02-12,3934.83
600,2021-02-15,.
601,2021-02-16,3932.59
602,2021-02-17,3931.33
603,2021-02-18,3913.97
604,2021-02-19,3906.71
605,2021-02-22,3876.5
606,2021-02-23,3881.37
607,2021-02-24,3925.43
608,2021-02-25,3829.34
609,2021-02-26,3811.15
610,2021-03-01,3901.82
611,2021-03-02,3870.29
612,2021-03-03,3819.72
613,2021-03-04,3768.47
614,2021-03-05,3841.94
615,2021-03-08,3821.35
616,2021-03-09,3875.44
617,2021-03-10,3898.81
618,2021-03-11,3939.34
619,2021-03-12,3943.34
620,2021-03-15,3968.94
621,2021-03-16,3962.71
622,2021-03-17,3974.12
623,2021-03-18,3915.46
624,2021-03-19,3913.1
625,2021-03-22,3940.59
626,2021-03-23,3910.52
627,2021-03-24,3889.14
628,2021-03-25,3909.52
629,2021-03-26,3974.54
630,2021-03-29,3971.09
631,2021-03-30,3958.55
632,2021-03-31,3972.89
633,2021-04-01,4019.87
634,2021-04-02,.
635,2021-04-05,4077.91
636,2021-04-06,4073.94
637,2021-04-07,4079.95
638,2021-04-08,4097.17
639,2021-04-09,4128.8
640,2021-04-12,4127.99
641,2021-04-13,4141.59
642,2021-04-14,4124.66
643,2021-04-15,4170.42
644,2021-04-16,4185.47
645,2021-04-19,4163.26
646,2021-04-20,4134.94
647,2021-04-21,4173.42
648,2021-04-22,4134.98
649,2021-04-23,4180.17
650,2021-04-26,4187.62
651,2021-04-27,4186.72
652,2021-04-28,4183.18
653,2021-04-29,4211.47
654,2021-04-30,4181.17
655,2021-05-03,4192.66
656,2021-05-04,4164.66
657,2021-05-05,4167.59
658,2021-05-06,4201.62
659,2021-05-07,4232.6
660,2021-05-10,4188.43
661,2021-05-11,4152.1
662,2021-05-12,4063.04
663,2021-05-13,4112.5
664,2021-05-14,4173.85
665,2021-05-17,4163.29
666,2021-05-18,4127.83
667,2021-05-19,4115.68
668,2021-05-20,4159.12
669,2021-05-21,4155.86
670,2021-05-24,4197.05
671,2021-05-25,4188.13
672,2021-05-26,4195.99
673,2021-05-27,4200.88
674,2021-05-28,4204.11
675,2021-05-31,.
676,2021-06-01,4202.04
677,2021-06-02,4208.12
678,2021-06-03,4192.85
679,2021-06-04,4229.89
680,2021-06-07,4226.52
681,2021-06-08,4227.26
682,2021-06-09,4219.55
683,2021-06-10,4239.18
684,2021-06-11,4247.44
685,2021-06-14,4255.15
686,2021-06-15,4246.59
687,2021-06-16,4223.7
688,2021-06-17,4221.86
689,2021-06-18,4166.45
690,2021-06-21,4224.79
691,2021-06-22,4246.44
692,2021-06-23,4241.84
693,2021-06-24,4266.49
694,2021-06-25,4280.7
695,2021-06-28,4290.61
696,2021-06-29,4291.8
697,2021-06-30,4297.5
698,2021-07-01,4319.94
699,2021-07-02,4352.34
700,2021-07-05,.
701,2021-07-06,4343.54
702,2021-07-07,4358.13
703,2021-07-08,4320.82
704,2021-07-09,4369.55
705,2021-07-12,4384.63
706,2021-07-13,4369.21
707,2021-07-14,4374.3
708,2021-07-15,4360.03
709,2021-07-16,4327.16
710,2021-07-19,4258.49
711,2021-07-20,4323.06
712,2021-07-21,4358.69
713,2021-07-22,4367.48
714,2021-07-23,4411.79
715,2021-07-26,4422.3
716,2021-07-27,4401.46
717,2021-07-28,4400.64
718,2021-07-29,4419.15
719,2021-07-30,4395.26
720,2021-08-02,4387.16
721,2021-08-03,4423.15
722,2021-08-04,4402.66
723,2021-08-05,4429.1
724,2021-08-06,4436.52
725,2021-08-09,4432.35
726,2021-08-10,4436.75
727,2021-08-11,4447.7
728,2021-08-12,4460.83
729,2021-08-13,4468
730,2021-08-16,4479.71
731,2021-08-17,4448.08
732,2021-08-18,4400.27
733,2021-08-19,4405.8
734,2021-08-20,4441.67
735,2021-08-23,4479.53
736,2021-08-24,4486.23
737,2021-08-25,4496.19
738,2021-08-26,4470
739,2021-08-27,4509.37
740,2021-08-30,4528.79
741,2021-08-31,4522.68
742,2021-09-01,4524.09
743,2021-09-02,4536.95
744,2021-09-03,4535.43
745,2021-09-06,.
746,2021-09-07,4520.03
747,2021-09-08,4514.07
748,2021-09-09,4493.28
749,2021-09-10,4458.58
750,2021-09-13,4468.73
751,2021-09-14,4443.05
752,2021-09-15,4480.7
753,2021-09-16,4473.75
754,2021-09-17,4432.99
755,2021-09-20,4357.73
756,2021-09-21,4354.19
757,2021-09-22,4395.64
758,2021-09-23,4448.98
759,2021-09-24,4455.48
760,2021-09-27,4443.11
761,2021-09-28,4352.63
762,2021-09-29,4359.46
763,2021-09-30,4307.54
764,2021-10-01,4357.04
765,2021-10-04,4300.46
766,2021-10-05,4345.72
767,2021-10-06,4363.55
768,2021-10-07,4399.76
769,2021-10-08,4391.34
770,2021-10-11,4361.19
771,2021-10-12,4350.65
772,2021-10-13,4363.8
773,2021-10-14,4438.26
774,2021-10-15,4471.37
775,2021-10-18,4486.46
776,2021-10-19,4519.63
777,2021-10-20,4536.19
778,2021-10-21,4549.78
779,2021-10-22,4544.9
780,2021-10-25,4566.48
781,2021-10-26,4574.79
782,2021-10-27,4551.68
783,2021-10-28,4596.42
784,2021-10-29,4605.38
785,2021-11-01,4613.67
786,2021-11-02,4630.65
787,2021-11-03,4660.57
788,2021-11-04,4680.06
789,2021-11-05,4697.53
790,2021-11-08,4701.7
791,2021-11-09,4685.25
792,2021-11-10,4646.71
793,2021-11-11,4649.27
794,2021-11-12,4682.85
795,2021-11-15,4682.8
796,2021-11-16,4700.9
797,2021-11-17,4688.67
798,2021-11-18,4704.54
799,2021-11-19,4697.96
800,2021-11-22,4682.94
801,2021-11-23,4690.7
802,2021-11-24,4701.46
803,2021-11-25,.
804,2021-11-26,4594.62
805,2021-11-29,4655.27
806,2021-11-30,4567
807,2021-12-01,4513.04
808,2021-12-02,4577.1
809,2021-12-03,4538.43
810,2021-12-06,4591.67
811,2021-12-07,4686.75
812,2021-12-08,4701.21
813,2021-12-09,4667.45
814,2021-12-10,4712.02
815,2021-12-13,4668.97
816,2021-12-14,4634.09
817,2021-12-15,4709.85
818,2021-12-16,4668.67
819,2021-12-17,4620.64
820,2021-12-20,4568.02
821,2021-12-21,4649.23
822,2021-12-22,4696.56
823,2021-12-23,4725.79
824,2021-12-24,.
825,2021-12-27,4791.19
826,2021-12-28,4786.35
827,2021-12-29,4793.06
828,2021-12-30,4778.73
829,2021-12-31,4766.18
830,2022-01-03,4796.56
831,2022-01-04,4793.54
832,2022-01-05,4700.58
833,2022-01-06,4696.05
834,2022-01-07,4677.03
835,2022-01-10,4670.29
836,2022-01-11,4713.07
