,DATE,SP500,month,number
472,8/19/2020,3374.85,2020-08-19,3374.85
473,8/20/2020,3385.51,2020-08-20,3385.51
474,8/21/2020,3397.16,2020-08-21,3397.16
475,8/24/2020,3431.28,2020-08-24,3431.28
476,8/25/2020,3443.62,2020-08-25,3443.62
477,8/26/2020,3478.73,2020-08-26,3478.73
478,8/27/2020,3484.55,2020-08-27,3484.55
479,8/28/2020,3508.01,2020-08-28,3508.01
480,8/31/2020,3500.31,2020-08-31,3500.31
481,9/1/2020,3526.65,2020-09-01,3526.65
482,9/2/2020,3580.84,2020-09-02,3580.84
483,9/3/2020,3455.06,2020-09-03,3455.06
484,9/4/2020,3426.96,2020-09-04,3426.96
485,9/7/2020,,2020-09-07,
486,9/8/2020,3331.84,2020-09-08,3331.84
487,9/9/2020,3398.96,2020-09-09,3398.96
488,9/10/2020,3339.19,2020-09-10,3339.19
489,9/11/2020,3340.97,2020-09-11,3340.97
490,9/14/2020,3383.54,2020-09-14,3383.54
491,9/15/2020,3401.2,2020-09-15,3401.2
492,9/16/2020,3385.49,2020-09-16,3385.49
493,9/17/2020,3357.01,2020-09-17,3357.01
494,9/18/2020,3319.47,2020-09-18,3319.47
495,9/21/2020,3281.06,2020-09-21,3281.06
496,9/22/2020,3315.57,2020-09-22,3315.57
497,9/23/2020,3236.92,2020-09-23,3236.92
498,9/24/2020,3246.59,2020-09-24,3246.59
499,9/25/2020,3298.46,2020-09-25,3298.46
500,9/28/2020,3351.6,2020-09-28,3351.6
501,9/29/2020,3335.47,2020-09-29,3335.47
502,9/30/2020,3363.0,2020-09-30,3363.0
503,10/1/2020,3380.8,2020-10-01,3380.8
504,10/2/2020,3348.44,2020-10-02,3348.44
505,10/5/2020,3408.63,2020-10-05,3408.63
506,10/6/2020,3360.95,2020-10-06,3360.95
507,10/7/2020,3419.45,2020-10-07,3419.45
508,10/8/2020,3446.83,2020-10-08,3446.83
509,10/9/2020,3477.13,2020-10-09,3477.13
510,10/12/2020,3534.22,2020-10-12,3534.22
511,10/13/2020,3511.93,2020-10-13,3511.93
512,10/14/2020,3488.67,2020-10-14,3488.67
513,10/15/2020,3483.34,2020-10-15,3483.34
